participant,P0_Q0,age,sex,P0_Q3,positive_ques,negative_ques,attention,comments
20,NA,20,Weiblich,NA,8,9,"Nein, ich war nicht abgelenkt",
21,NA,23,Female,NA,9,9,"No, I was not","Diagnosed ADHD, currently taking amphetamines"
23,NA,21,Male,NA,8,8,"No, I was not",
25,NA,22,Männlich,NA,9,9,"Nein, ich war nicht abgelenkt",
28,NA,19,Weiblich,NA,7,3,"Nein, ich war nicht abgelenkt",
2,NA,30,Weiblich,NA,6,6,"Nein, ich war nicht abgelenkt",
4,NA,21,Weiblich,NA,8,6,"Nein, ich war nicht abgelenkt",
7,NA,20,Weiblich,NA,9,6,"Nein, ich war nicht abgelenkt","Mit der Zeit ermüdend. Sehr verwirrend aber auch spannend wären alle ( +, =, -,) zufällig nach einander> Konzentrationsüberforderung"
8,NA,26,Weiblich,NA,6,8,"Nein, ich war nicht abgelenkt",
10,NA,27,Männlich,NA,8,7,"Nein, ich war nicht abgelenkt","1. Gibt es irgendeine Statistik bei der ich die Anzahl Fehler sehe die ich gemacht habe, oder mich mit anderen Vergleichen kann (ranking)
2. Ich hasse jetzt Cs, Danke :D"
11,NA,19,Männlich,NA,9,9,"Nein, ich war nicht abgelenkt",
12,NA,31,Männlich,NA,9,9,"Nein, ich war nicht abgelenkt",
17,NA,24,Male,NA,8,7,"No, I was not",
27,NA,23,Weiblich,NA,8,5,"Nein, ich war nicht abgelenkt",
29,NA,28,Männlich,NA,9,9,"Nein, ich war nicht abgelenkt",
1,NA,23,Männlich,NA,9,8,"Nein, ich war nicht abgelenkt",
3,NA,23,Weiblich,NA,8,8,"Nein, ich war nicht abgelenkt",
5,NA,23,Männlich,NA,2,8,"Nein, ich war nicht abgelenkt",
6,NA,20,Männlich,NA,9,9,"Nein, ich war nicht abgelenkt",
18,NA,23,Weiblich,NA,9,9,"Nein, ich war nicht abgelenkt",
22,NA,22,Männlich,NA,7,5,"Nein, ich war nicht abgelenkt",
26,NA,21,Weiblich,NA,7,5,"Nein, ich war nicht abgelenkt",
9,NA,23,Männlich,NA,9,9,"Nein, ich war nicht abgelenkt",
13,NA,23,Weiblich,NA,4,2,"Nein, ich war nicht abgelenkt","Hatte das Gefühl, dass es mir schwerer viel das bestimmte ""C"" zu finden bei gewissen Farbkonstellationen. Auch hatte ich das Gefühl, dass miene Konzentration nicht immer konstant bleiben konnte. Sie war so Wellenartig teils, voll da und manchmal ein wenig schwächer."
14,NA,21,Weiblich,NA,8,8,"Ja, ich war von etwas abgelenkt",
15,NA,23,Männlich,NA,8,8,"Nein, ich war nicht abgelenkt",Die Aufmerksamkeitsspanne sinkt während des Experimentes stets. 
16,NA,26,Weiblich,NA,8,7,"Nein, ich war nicht abgelenkt",
19,NA,23,Männlich,NA,8,8,"Nein, ich war nicht abgelenkt",
24,NA,21,Weiblich,NA,5,1,"Ja, ich war von etwas abgelenkt","Ich finde das Experiment etwas lange. Nach einer Weile lässt die Konzentration nach und man braucht einfach schlichtweg länger. Ausserdem wäre es schön zu wissen, für was ich das Experiment überhaupt mache. Warum braucht ihr meine Daten und waru genau habt ihr das getestet? Ich verstehe, dass dies nicht am Anfang möglich ist, jedoch wäre am Ende es schön zu wissen, für was ich gerade eine Stunde meines Lebens investiert habe. Ausserdem wäre es noch angebracht, nicht nur eine Versuchsstunde als ""Belohnung"" zu geben, sondern auch etwas anderes für all jene, die nichts mit Versuchsstunden anfangen können. "
